136 | FUWANGFOOD | 15.1 | 15.4 | 15 | 15.1 | 15.2 | -0.1 | 782 | 19.6180 | 1,293,262 | 
137 | DBH | 40.9 | 41.2 | 40 | 40.9 | 40.8 | 0.1 | 558 | 19.5480 | 480,077 | 
138 | JHRML | 51.6 | 52.1 | 50.8 | 51.6 | 50.9 | 0.7 | 799 | 19.2640 | 374,204 | 
139 | BDTHAI | 12.8 | 13.2 | 12.7 | 12.8 | 13 | -0.2 | 689 | 19.0790 | 1,484,053 | 
140 | SAIHAMTEX | 14.8 | 15.6 | 14.7 | 14.8 | 14.7 | 0.1 | 536 | 18.3910 | 1,226,974 | 
141 | ACFL | 19.3 | 20.7 | 19 | 19.3 | 19.3 | 0 | 561 | 18.3590 | 940,062 | 
142 | RAHIMTEXT | 159.6 | 173 | 158 | 159.6 | 160.8 | -1.2 | 876 | 18.0930 | 110,747 | 
143 | POWERGRID | 33.7 | 35.1 | 31.7 | 33.2 | 32.1 | 1.6 | 600 | 18.0650 | 544,799 | 
144 | STYLECRAFT | 70.8 | 74 | 70.3 | 70.8 | 71.3 | -0.5 | 891 | 17.9440 | 249,787 | 
145 | GEMINISEA | 149.3 | 150.9 | 147 | 149.3 | 148 | 1.3 | 796 | 17.5400 | 117,478 | 
146 | BDCOM | 24.3 | 24.7 | 23.9 | 24.3 | 23.8 | 0.5 | 469 | 17.2740 | 709,574 | 
147 | NATLIFEINS | 104.9 | 105.4 | 100.9 | 104.9 | 100.8 | 4.1 | 644 | 17.1520 | 165,536 | 
148 | GHAIL | 12.9 | 13.6 | 12.7 | 12.9 | 13.3 | -0.4 | 635 | 17.0690 | 1,302,408 | 
149 | PROVATIINS | 33.9 | 35.7 | 33.6 | 33.9 | 35 | -1.1 | 657 | 16.8790 | 491,270 | 
150 | SAPORTL | 23.6 | 23.9 | 23.4 | 23.6 | 23.3 | 0.3 | 405 | 16.6960 | 707,069 | 
151 | PHARMAID | 597.5 | 609 | 596 | 597.5 | 603.7 | -6.2 | 823 | 16.4970 | 27,411 | 
152 | UNIQUEHRL | 40.4 | 41.5 | 39 | 40.4 | 38.7 | 1.7 | 632 | 16.3670 | 411,124 | 
153 | CENTRALINS | 42 | 43.2 | 41.8 | 42 | 43.1 | -1.1 | 659 | 16.1520 | 382,431 | 
154 | GOLDENSON | 11.7 | 12 | 11.6 | 11.7 | 11.8 | -0.1 | 477 | 16.1280 | 1,367,954 | 
155 | MONNOAGML | 352.4 | 362.8 | 351.6 | 352.4 | 354.9 | -2.5 | 841 | 15.9230 | 44,958 | 
156 | MEGHNAINS | 26.1 | 26.8 | 26 | 26.1 | 26.4 | -0.3 | 572 | 15.5480 | 592,437 | 
157 | CAPITECGBF | 7.6 | 7.7 | 7.4 | 7.6 | 7.5 | 0.1 | 308 | 15.4380 | 2,042,122 | 
158 | DELTALIFE | 74.4 | 74.7 | 71 | 74.4 | 72.3 | 2.1 | 721 | 15.3320 | 208,475 | 
159 | SINOBANGLA | 42.8 | 43 | 42.2 | 42.8 | 42 | 0.8 | 545 | 15.2010 | 356,825 | 
160 | DBH1STMF | 6.2 | 6.2 | 6 | 6.2 | 6.1 | 0.1 | 144 | 14.6340 | 2,366,511 | 
161 | SONALIANSH | 186.7 | 187.6 | 183.5 | 186.7 | 182.6 | 4.1 | 780 | 14.4260 | 77,600 | 
162 | LEGACYFOOT | 58.3 | 59.7 | 58 | 58.3 | 58.4 | -0.1 | 660 | 14.3870 | 245,776 | 
163 | PEOPLESINS | 35 | 35.9 | 34.7 | 35 | 35.5 | -0.5 | 609 | 14.3610 | 408,782 | 
164 | SALAMCRST | 19.4 | 20.2 | 19.3 | 19.4 | 19.9 | -0.5 | 735 | 14.3130 | 728,750 | 
165 | EXIMBANK | 6.4 | 6.5 | 6.2 | 6.4 | 6.2 | 0.2 | 319 | 14.0620 | 2,196,141 | 
166 | PIONEERINS | 44.8 | 45.1 | 43.3 | 44.8 | 43.7 | 1.1 | 459 | 14.0350 | 315,532 | 
167 | BDTHAIFOOD | 14.4 | 14.6 | 14.2 | 14.4 | 14.2 | 0.2 | 477 | 14.0160 | 975,150 | 
168 | ADVENT | 15.3 | 16 | 15.2 | 15.3 | 15.7 | -0.4 | 499 | 13.8030 | 897,379 | 
169 | UNIONINS | 36.6 | 37.8 | 36.3 | 36.6 | 36.8 | -0.2 | 549 | 13.8010 | 374,618 | 
170 | RAKCERAMIC | 23.3 | 23.7 | 21.9 | 23.3 | 21.9 | 1.4 | 602 | 13.7040 | 597,345 | 
171 | BDLAMPS | 138.8 | 141.8 | 131 | 138.8 | 131.1 | 7.7 | 703 | 13.6690 | 99,936 | 
172 | FUWANGCER | 13.4 | 13.5 | 13.2 | 13.4 | 13.2 | 0.2 | 458 | 13.4820 | 1,014,666 | 
173 | NPOLYMER | 31 | 31.5 | 30.1 | 31 | 30.4 | 0.6 | 593 | 13.4580 | 434,622 | 
174 | GLOBALINS | 28.5 | 29.6 | 28.2 | 28.5 | 29.1 | -0.6 | 467 | 13.4200 | 467,959 | 
175 | GQBALLPEN | 225.9 | 232 | 223 | 225.5 | 229.5 | -3.6 | 517 | 13.3240 | 58,907 | 
176 | ORIONPHARM | 32.3 | 32.6 | 31.9 | 32.3 | 31.8 | 0.5 | 516 | 13.2590 | 410,700 | 
177 | KOHINOOR | 512.8 | 515 | 509 | 511.1 | 509.3 | 3.5 | 672 | 13.2130 | 25,801 | 
178 | COPPERTECH | 22.4 | 22.5 | 21.3 | 22.4 | 21.5 | 0.9 | 580 | 13.0270 | 595,400 | 
179 | WALTONHIL | 461.5 | 464.8 | 454.3 | 461.5 | 454.3 | 7.2 | 742 | 12.9680 | 28,147 | 
180 | UNITEDFIN | 13.5 | 13.7 | 13.2 | 13.5 | 13.1 | 0.4 | 449 | 12.9420 | 963,071 | 
181 | ANWARGALV | 68.7 | 70.8 | 68.2 | 68.7 | 69.4 | -0.7 | 852 | 12.9130 | 186,480 | 
182 | CRYSTALINS | 45.4 | 45.8 | 45.2 | 45.4 | 45.7 | -0.3 | 524 | 12.7390 | 280,223 | 
183 | GRAMEENS2 | 14.5 | 14.7 | 14 | 14.5 | 14.1 | 0.4 | 385 | 12.6040 | 868,108 | 
184 | SHARPIND | 17.8 | 18.9 | 17.7 | 17.8 | 18 | -0.2 | 479 | 12.4250 | 681,764 | 
185 | RECKITTBEN | 3 | 3,490 | 3,389 | 3,443.6 | 3 | 54.6 | 483 | 12.3320 | 3,585 | 
186 | ICB | 49.7 | 49.9 | 48.7 | 49.7 | 48.4 | 1.3 | 654 | 12.0700 | 244,266 | 
187 | TAMIJTEX | 123.4 | 133.1 | 122.4 | 123.4 | 126.8 | -3.4 | 510 | 11.8650 | 93,224 | 
188 | PRAGATILIF | 106.2 | 107 | 101.7 | 106.2 | 103.6 | 2.6 | 654 | 11.6660 | 111,662 | 
189 | KPPL | 17.4 | 18.5 | 17.1 | 17.4 | 18 | -0.6 | 638 | 11.4960 | 652,558 | 
190 | APEXFOOT | 221.8 | 225.7 | 220.1 | 221.8 | 219.6 | 2.2 | 484 | 11.4060 | 51,309 | 
191 | MIRAKHTER | 27.8 | 28 | 27.4 | 27.8 | 27.3 | 0.5 | 349 | 11.3580 | 409,629 | 
192 | PRIMEINSUR | 34.8 | 36.2 | 34.1 | 35.1 | 35.4 | -0.6 | 311 | 11.3280 | 322,762 | 
193 | SANDHANINS | 21.8 | 22 | 21.5 | 21.8 | 21.8 | 0 | 383 | 11.2050 | 516,029 | 
194 | STANDARINS | 42.6 | 44.4 | 42.2 | 42.6 | 43.9 | -1.3 | 484 | 11.1170 | 258,043 | 
195 | ZAHEENSPIN | 7 | 7.5 | 7 | 7 | 7 | 0 | 359 | 10.8870 | 1,516,068 | 
